img_path,label
C:\Users\Daniel\Desktop\Grad school\UWaterloo Masters\Winter 2024\STAT923\Final Project\STAT932_Final_Project\GAN\GAN_generated_images/generated_image_0_for_label_2.png,2
C:\Users\Daniel\Desktop\Grad school\UWaterloo Masters\Winter 2024\STAT923\Final Project\STAT932_Final_Project\GAN\GAN_generated_images/generated_image_1_for_label_2.png,2
C:\Users\Daniel\Desktop\Grad school\UWaterloo Masters\Winter 2024\STAT923\Final Project\STAT932_Final_Project\GAN\GAN_generated_images/generated_image_2_for_label_1.png,1
C:\Users\Daniel\Desktop\Grad school\UWaterloo Masters\Winter 2024\STAT923\Final Project\STAT932_Final_Project\GAN\GAN_generated_images/generated_image_3_for_label_2.png,2
C:\Users\Daniel\Desktop\Grad school\UWaterloo Masters\Winter 2024\STAT923\Final Project\STAT932_Final_Project\GAN\GAN_generated_images/generated_image_4_for_label_1.png,1
C:\Users\Daniel\Desktop\Grad school\UWaterloo Masters\Winter 2024\STAT923\Final Project\STAT932_Final_Project\GAN\GAN_generated_images/generated_image_5_for_label_1.png,1
C:\Users\Daniel\Desktop\Grad school\UWaterloo Masters\Winter 2024\STAT923\Final Project\STAT932_Final_Project\GAN\GAN_generated_images/generated_image_6_for_label_1.png,1
C:\Users\Daniel\Desktop\Grad school\UWaterloo Masters\Winter 2024\STAT923\Final Project\STAT932_Final_Project\GAN\GAN_generated_images/generated_image_7_for_label_1.png,1
C:\Users\Daniel\Desktop\Grad school\UWaterloo Masters\Winter 2024\STAT923\Final Project\STAT932_Final_Project\GAN\GAN_generated_images/generated_image_8_for_label_2.png,2
C:\Users\Daniel\Desktop\Grad school\UWaterloo Masters\Winter 2024\STAT923\Final Project\STAT932_Final_Project\GAN\GAN_generated_images/generated_image_9_for_label_2.png,2
C:\Users\Daniel\Desktop\Grad school\UWaterloo Masters\Winter 2024\STAT923\Final Project\STAT932_Final_Project\GAN\GAN_generated_images/generated_image_10_for_label_2.png,2
C:\Users\Daniel\Desktop\Grad school\UWaterloo Masters\Winter 2024\STAT923\Final Project\STAT932_Final_Project\GAN\GAN_generated_images/generated_image_11_for_label_1.png,1
C:\Users\Daniel\Desktop\Grad school\UWaterloo Masters\Winter 2024\STAT923\Final Project\STAT932_Final_Project\GAN\GAN_generated_images/generated_image_12_for_label_1.png,1
